"SalePrice","Total_SF","OverallQual","GarageArea","Neighborhood","GrLivArea","KitchenQual","YearRemodAdd"
208500,2566,7,548,"CollgCr",1710,"Gd",2003
181500,2524,6,460,"Veenker",1262,"TA",1976
223500,2706,7,608,"CollgCr",1786,"Gd",2002
140000,2473,7,642,"Crawfor",1717,"Gd",1970
250000,3343,8,836,"NoRidge",2198,"Gd",2000
143000,2158,5,480,"Mitchel",1362,"TA",1995
307000,3380,8,636,"Somerst",1694,"Gd",2005
200000,3197,7,484,"NWAmes",2090,"TA",1973
129900,2726,7,468,"OldTown",1774,"TA",1950
118000,2068,5,205,"BrkSide",1077,"TA",1950
129500,2080,5,384,"Sawyer",1040,"TA",1965
345000,3499,9,736,"NridgHt",2324,"Ex",2006
144000,1824,5,352,"Sawyer",912,"TA",1962
279500,2988,7,840,"CollgCr",1494,"Gd",2007
157000,2506,6,352,"NAmes",1253,"TA",1960
132000,1686,7,576,"BrkSide",854,"TA",2001
149000,2008,6,480,"NAmes",1004,"TA",1970
90000,1296,4,516,"Sawyer",1296,"TA",1967
159000,2228,5,576,"SawyerW",1114,"Gd",2004
139000,2368,5,294,"NAmes",1339,"TA",1965
325300,3534,8,853,"NridgHt",2376,"Gd",2006
139400,1745,7,280,"IDOTRR",1108,"Gd",1950
230000,3572,8,534,"CollgCr",1795,"Gd",2002
129900,2100,5,572,"MeadowV",1060,"TA",1976
154000,2120,5,270,"Sawyer",1060,"Gd",2001
256300,3166,8,890,"NridgHt",1600,"Gd",2007
134800,1800,5,576,"NAmes",900,"Gd",2000
306000,3408,8,772,"NridgHt",1704,"Gd",2008
207500,3084,5,319,"NAmes",1600,"TA",1997
68500,1040,4,240,"BrkSide",520,"Fa",1950
40000,1966,4,250,"IDOTRR",1317,"TA",1950
149350,2456,5,271,"Sawyer",1228,"Gd",2006
179900,2468,8,484,"CollgCr",1234,"Gd",2007
165500,3098,5,447,"NAmes",1700,"Gd",1959
277500,3122,9,556,"NridgHt",1561,"Ex",2005
309000,3569,8,691,"NridgHt",2452,"Gd",2005
145000,2194,5,672,"CollgCr",1097,"TA",1995
153000,2594,5,498,"NAmes",1297,"TA",1990
109000,2114,5,246,"NAmes",1057,"Gd",2007
82000,1152,4,0,"Edwards",1152,"Fa",1955
160000,2412,6,440,"NAmes",1324,"TA",1965
170000,2678,5,308,"Timber",1328,"TA",1959
144000,1724,5,504,"SawyerW",884,"Gd",1983
130250,1876,5,308,"CollgCr",938,"TA",1980
141000,2300,5,300,"NAmes",1150,"TA",1959
319900,3504,9,576,"NridgHt",1752,"Ex",2005
239686,3583,7,670,"Mitchel",2149,"Gd",2003
249700,3312,8,826,"Somerst",1656,"Gd",2006
113000,2188,4,0,"OldTown",1452,"TA",2008
127000,1910,5,386,"Sawyer",955,"TA",1966
177000,2264,6,388,"Gilbert",1470,"TA",1997
114500,1632,6,528,"BrkSide",1176,"TA",1950
110000,1632,5,516,"IDOTRR",816,"TA",1963
385000,3684,9,894,"Veenker",1842,"Gd",1987
130000,1744,5,572,"NAmes",1360,"TA",1955
180500,2850,6,576,"NAmes",1425,"TA",1964
172500,2709,8,480,"Somerst",1739,"Gd",2000
196500,2580,7,565,"CollgCr",1720,"Gd",2004
438780,4355,10,641,"StoneBr",2945,"Gd",2006
124900,1560,5,352,"CollgCr",780,"TA",1972
158000,2316,6,576,"SawyerW",1158,"Gd",2004
101000,1641,5,288,"IDOTRR",1111,"Fa",1996
202500,2740,8,484,"NridgHt",1370,"Gd",2006
140000,2286,7,480,"OldTown",1710,"TA",1950
219500,3091,7,645,"CollgCr",2034,"Gd",1998
317000,3616,8,852,"NridgHt",2473,"Gd",2005
180000,4154,7,576,"NAmes",2207,"TA",1989
226000,2932,7,558,"CollgCr",1479,"Gd",2003
80000,1494,4,220,"OldTown",747,"TA",1950
225000,3591,7,667,"ClearCr",2287,"TA",1953
244000,4446,7,516,"NAmes",2223,"TA",1973
129500,1690,4,360,"Mitchel",845,"TA",2006
185000,2550,7,427,"Gilbert",1718,"TA",1998
144900,2172,5,490,"NAmes",1086,"TA",2003
107400,2445,3,379,"OldTown",1605,"TA",1950
91000,1450,4,297,"MeadowV",988,"TA",1973
135750,1904,4,283,"NAmes",952,"TA",1956
127000,1957,5,240,"BrkSide",1285,"TA",2001
136500,3536,4,0,"Sawyer",1768,"TA",1968
110000,1670,5,440,"OldTown",1230,"TA",1981
193500,3038,6,509,"NAmes",2142,"Gd",1968
153500,2574,6,405,"Mitchel",1337,"TA",1998
245000,3126,8,758,"Somerst",1563,"Gd",2007
126500,2130,5,461,"NAmes",1065,"TA",1960
168500,1858,7,400,"Gilbert",1474,"TA",1996
260000,3705,8,462,"NoRidge",2417,"Gd",1992
174000,2244,6,400,"Gilbert",1560,"Gd",2005
164500,1836,6,528,"Somerst",1224,"Gd",2009
85000,2026,3,0,"IDOTRR",1526,"Fa",1982
123600,1980,4,0,"CollgCr",990,"TA",1995
109900,1040,4,420,"NAmes",1040,"TA",1950
98600,2470,5,480,"NAmes",1235,"TA",1961
163500,1840,5,432,"Crawfor",964,"TA",2006
133900,3505,6,506,"OldTown",2291,"TA",1998
204750,2610,6,684,"CollgCr",1786,"Gd",1997
185000,2150,6,420,"Gilbert",1470,"TA",1993
214000,3176,7,472,"CollgCr",1588,"Gd",1999
94750,1920,4,432,"Edwards",960,"TA",1965
83000,1293,5,366,"Edwards",835,"TA",1950
128950,2175,4,0,"NAmes",1225,"TA",1959
205000,3220,6,480,"NWAmes",1610,"Gd",2001
178000,2473,6,476,"SawyerW",1732,"Gd",1985
118964,1535,5,410,"SawyerW",1535,"TA",1979
198900,2452,7,740,"CollgCr",1226,"Gd",2009
169500,2858,7,240,"IDOTRR",1818,"TA",1950
250000,3045,8,648,"Somerst",1992,"Gd",2004
100000,1688,4,273,"OldTown",1047,"TA",1995
115000,1578,5,250,"OldTown",789,"TA",1950
115000,2310,5,0,"IDOTRR",1517,"Fa",2005
190000,3688,6,546,"NWAmes",1844,"TA",1977
136900,2849,6,325,"Edwards",1855,"TA",1972
180000,1814,7,400,"Gilbert",1430,"TA",2000
383970,3960,7,792,"CollgCr",2696,"Ex",2007
217000,4068,6,450,"Crawfor",2259,"Gd",1953
259500,3348,6,180,"Crawfor",2320,"Gd",2002
176000,2187,6,440,"Somerst",1458,"TA",1999
139000,2184,5,288,"Sawyer",1092,"TA",1962
155000,2250,5,430,"Edwards",1125,"TA",2007
320000,4895,7,594,"SawyerW",3222,"Gd",1990
163990,2184,6,390,"CollgCr",1456,"Gd",2006
180000,1926,6,540,"ClearCr",988,"TA",1969
100000,1855,4,264,"IDOTRR",1123,"TA",1950
136000,2160,6,288,"NAmes",1080,"TA",1958
153900,2398,6,530,"SawyerW",1199,"Gd",1993
181000,2948,6,435,"NWAmes",1586,"TA",1998
84500,1040,6,0,"IDOTRR",754,"TA",1982
128000,2036,6,440,"NPkVill",958,"TA",1976
87000,1512,5,0,"OldTown",840,"TA",1950
155000,2008,6,453,"NAmes",1348,"TA",1966
150000,2061,5,750,"NAmes",1053,"Ex",1991
226000,3081,7,487,"NAmes",2157,"Gd",1966
244000,3046,6,390,"Gilbert",2054,"Gd",2000
150750,2390,5,624,"NAmes",1327,"Gd",2002
220000,2563,8,471,"Timber",1296,"Gd",2002
180000,3182,5,440,"Sawyer",1721,"TA",1993
174000,2986,7,530,"NWAmes",1682,"TA",1970
143000,2428,5,318,"NAmes",1214,"TA",1967
171000,3866,7,766,"Mitchel",1959,"TA",1989
230000,2856,8,660,"CollgCr",1852,"Gd",2000
231500,2692,6,470,"CollgCr",1764,"Gd",1997
115000,1728,4,0,"NAmes",864,"TA",1971
260000,3468,7,660,"CollgCr",1734,"Gd",2005
166000,2295,5,720,"NAmes",1385,"TA",1952
204000,2991,7,577,"CollgCr",1501,"Gd",1999
125000,3456,5,504,"Sawyer",1728,"TA",1963
130000,2679,6,380,"Edwards",1709,"Gd",2006
105000,1590,5,180,"BrkSide",875,"TA",1993
222500,2919,7,434,"Gilbert",2035,"Gd",2001
141000,2160,7,0,"SawyerW",1080,"Gd",2005
115000,2240,5,240,"BrkSide",1344,"TA",1950
122000,1938,5,440,"CollgCr",969,"TA",1975
372402,3420,8,866,"NridgHt",1710,"Gd",2008
190000,2818,6,495,"NWAmes",1993,"TA",1971
235000,2854,6,564,"ClearCr",1252,"TA",1975
125000,2400,6,312,"OldTown",1200,"TA",1950
79000,1668,6,0,"Edwards",1096,"TA",1950
109500,1040,5,625,"NAmes",1040,"TA",1950
269500,2742,8,680,"Timber",1968,"Ex",2010
254900,2938,7,678,"Somerst",1947,"Gd",2005
320000,3854,7,576,"Gilbert",2462,"Gd",2006
162500,2464,6,516,"Veenker",1232,"TA",1984
412500,4240,9,726,"NridgHt",2668,"Ex",2004
220000,3082,7,532,"NridgHt",1541,"Gd",2005
103200,1764,4,0,"OldTown",882,"TA",1956
152000,2765,6,216,"OldTown",1616,"Gd",2004
127500,1999,5,0,"Edwards",1355,"TA",1999
190000,3484,5,303,"ClearCr",1867,"TA",1993
325624,3743,8,789,"NridgHt",2161,"Ex",2007
183500,2560,7,440,"Gilbert",1720,"Gd",2004
228000,3393,8,511,"Timber",1707,"TA",1981
128500,1574,5,660,"OldTown",1382,"TA",1950
215000,2736,6,528,"NAmes",1656,"TA",1960
239000,2831,7,504,"StoneBr",1767,"Gd",1987
163000,2724,6,504,"NAmes",1362,"TA",1961
184000,3257,6,616,"Timber",1651,"TA",1986
243000,3360,6,576,"Edwards",2158,"Gd",2001
211000,3211,6,521,"ClearCr",2060,"TA",1989
172500,2972,5,451,"Sawyer",1920,"Gd",1958
501837,4450,9,1166,"StoneBr",2234,"Ex",2009
100000,1936,5,480,"OldTown",968,"TA",2006
177000,2281,6,440,"Somerst",1525,"Gd",2000
200100,2595,7,216,"Crawfor",1802,"TA",1950
120000,1340,5,252,"Edwards",1340,"TA",2006
200000,3444,7,484,"OldTown",2082,"Gd",2003
127000,1756,5,576,"BrkSide",1252,"TA",1991
475000,4143,10,840,"OldTown",3608,"Ex",1993
173000,2405,7,497,"Mitchel",1217,"Gd",1991
135000,2172,5,180,"OldTown",1656,"TA",1987
153337,2310,5,528,"SawyerW",1224,"TA",1979
286000,3186,8,682,"StoneBr",1593,"Ex",2002
315000,3580,8,440,"Crawfor",2727,"Gd",1994
184000,2204,7,484,"NAmes",1479,"Gd",2004
192000,2862,7,666,"CollgCr",1431,"Gd",1999
130000,2679,7,380,"Edwards",1709,"Gd",2004
127000,1728,5,352,"CollgCr",864,"TA",1972
148500,2311,6,440,"NPkVill",1456,"TA",1976
311872,3452,7,786,"Somerst",1726,"Ex",2007
235000,4080,8,795,"NAmes",3112,"Gd",1990
104000,2613,6,0,"OldTown",2229,"TA",1950
274900,3426,8,856,"NridgHt",1713,"Ex",2005
140000,2242,4,440,"Edwards",1121,"TA",2004
171500,2475,6,473,"Mitchel",1279,"TA",1977
112000,1927,6,398,"OldTown",1310,"TA",1950
149000,1696,6,420,"CollgCr",848,"Gd",2004
110000,2004,5,240,"OldTown",1284,"TA",1950
180500,2866,7,500,"Gilbert",1442,"TA",1990
143900,2836,5,349,"Sawyer",1696,"TA",1962
141000,2200,4,312,"NAmes",1100,"TA",1960
277000,3219,7,454,"SawyerW",2062,"TA",1989
145000,2184,6,504,"NAmes",1092,"TA",1964
98000,1728,5,0,"Edwards",864,"TA",1950
186000,2424,6,460,"Edwards",1212,"Gd",2009
252678,2752,7,644,"Somerst",1852,"Gd",2009
156000,1980,5,576,"CollgCr",990,"TA",1995
161750,2081,6,299,"CollgCr",1392,"TA",1977
134450,2306,5,447,"NAmes",1236,"Gd",1996
210000,2872,7,484,"CollgCr",1436,"Gd",2004
107000,2014,4,210,"OldTown",1328,"TA",1950
311500,2752,7,431,"Crawfor",1954,"Gd",2006
167240,2496,7,438,"Blmngtn",1248,"Gd",2006
204900,2996,7,675,"CollgCr",1498,"Gd",2006
200000,3277,6,390,"Gilbert",2267,"Gd",2002
179900,2265,6,434,"NWAmes",1552,"TA",1975
97000,1728,4,576,"NAmes",864,"TA",1971
386250,4784,10,968,"NridgHt",2392,"Ex",2003
112000,1932,5,280,"BrDale",1302,"TA",1971
290000,3723,7,721,"NoRidge",2520,"Gd",1995
106000,1470,6,280,"BrDale",987,"TA",1970
125000,1824,5,336,"Sawyer",912,"TA",1967
192500,2928,7,430,"Blmngtn",1555,"Gd",2006
148000,2388,6,312,"NAmes",1194,"TA",1959
403000,4256,8,810,"NoRidge",2794,"Ex",1996
94500,1470,6,288,"BrDale",987,"TA",1972
128200,1788,5,308,"CollgCr",894,"TA",1976
216500,2820,6,440,"Gilbert",1960,"Gd",2002
89500,1470,6,264,"BrDale",987,"TA",1971
185500,2828,7,494,"CollgCr",1414,"Gd",2004
194500,2740,7,457,"SawyerW",1744,"Gd",2003
318000,3388,8,818,"NridgHt",1694,"Gd",2007
113000,2222,6,220,"Edwards",1487,"TA",1950
262500,3132,8,750,"Somerst",1566,"Gd",2008
110500,1552,5,0,"OldTown",866,"Gd",1997
79000,1980,5,352,"OldTown",1440,"TA",1950
120000,1843,6,288,"SawyerW",1217,"TA",1980
205000,3058,7,463,"SawyerW",2110,"Gd",2002
241500,3717,7,604,"NWAmes",1872,"TA",1988
137000,2948,6,440,"OldTown",1928,"Fa",1950
140000,2742,6,451,"NAmes",1375,"TA",1954
180000,2508,7,500,"CollgCr",1668,"Gd",2003
277000,3588,6,389,"ClearCr",2144,"Gd",2006
76500,2034,3,0,"BrkSide",1306,"Fa",1966
235000,3198,8,538,"Crawfor",1625,"Gd",2007
173000,2438,6,520,"SawyerW",1640,"Gd",2004
158000,2604,6,309,"NAmes",1302,"Gd",1991
145000,2628,5,294,"NAmes",1314,"TA",1957
230000,3266,7,429,"Gilbert",2291,"Gd",1999
207500,2592,6,673,"Somerst",1728,"Gd",2003
220000,3208,7,660,"CollgCr",1604,"Gd",2006
231500,2755,7,564,"CollgCr",1792,"Gd",2001
97000,882,5,308,"OldTown",882,"TA",1956
176000,2744,6,884,"NAmes",1382,"TA",1962
276000,4056,8,868,"CollgCr",2574,"Ex",2007
151000,1718,6,492,"Sawyer",1212,"TA",1995
130000,1852,5,484,"OldTown",1316,"TA",2001
73000,1444,5,504,"OldTown",764,"TA",2004
175500,2844,6,576,"NWAmes",1422,"Gd",1981
185000,2313,6,413,"Gilbert",1511,"TA",1997
179500,2492,5,240,"SWISU",2192,"Gd",1997
120500,1518,5,924,"IDOTRR",778,"TA",1955
148000,2256,6,504,"Edwards",1113,"TA",1976
266000,3034,8,1053,"Somerst",1939,"Gd",2006
241500,2748,7,439,"ClearCr",1363,"TA",2005
290000,3422,8,671,"NoRidge",2270,"Gd",2007
139000,2872,6,338,"NAmes",1632,"TA",1988
124500,1632,5,264,"Mitchel",816,"TA",1982
205000,2500,7,672,"BrkSide",1548,"Ex",2007
201000,3120,7,573,"Mitchel",1560,"Gd",2003
141000,1728,4,400,"Gilbert",864,"TA",1951
415298,4242,9,732,"NridgHt",2121,"Ex",2007
192000,3182,7,505,"ClearCr",2022,"TA",1977
228500,2789,7,575,"SawyerW",1982,"Gd",1989
185000,2524,6,572,"Somerst",1262,"Gd",2006
207500,2628,7,626,"NridgHt",1314,"Gd",2008
244600,2936,8,898,"Somerst",1468,"Gd",2009
179200,3150,6,529,"SawyerW",1575,"Gd",1992
164700,1875,7,528,"Somerst",1250,"Gd",2007
159000,2646,6,440,"NAmes",1734,"Gd",1981
88000,1716,4,0,"NAmes",858,"TA",1971
122000,1782,5,280,"Sawyer",900,"TA",1967
153575,2094,6,384,"BrkSide",1396,"TA",2003
233230,2998,8,685,"CollgCr",1919,"Gd",2006
135900,2496,5,0,"SWISU",1716,"Fa",2000
131000,2484,5,281,"Edwards",1716,"TA",2008
235000,3058,7,539,"NWAmes",2263,"Gd",1994
167000,3060,6,418,"NAmes",1644,"TA",1953
142500,2006,6,588,"Mitchel",1003,"TA",1984
152000,2468,5,282,"IDOTRR",1558,"TA",1950
239000,2925,7,576,"Somerst",1950,"Gd",1998
175000,2445,6,539,"NWAmes",1743,"TA",1968
158500,2244,6,300,"Crawfor",1152,"Gd",2004
157000,2501,5,375,"Crawfor",1336,"TA",1953
267000,3480,8,683,"CollgCr",2452,"Gd",1999
205000,3082,7,843,"CollgCr",1541,"Gd",2002
149900,1788,5,552,"CollgCr",894,"TA",1972
295000,4963,7,870,"OldTown",3493,"Gd",2002
305900,4000,8,888,"CollgCr",2000,"Gd",2005
225000,2943,7,746,"SawyerW",2243,"Gd",1991
89500,1725,6,0,"IDOTRR",1406,"Fa",1950
82500,1722,4,539,"Edwards",861,"TA",1950
360000,3840,9,708,"NridgHt",1944,"Ex",2004
165600,2198,6,420,"Gilbert",1501,"Gd",1994
132000,1944,6,240,"NAmes",972,"TA",2002
119900,1911,5,410,"OldTown",1118,"TA",1950
375000,4172,7,513,"Timber",2036,"TA",1965
178000,2369,7,546,"OldTown",1641,"Ex",1990
188500,2148,7,432,"Gilbert",1432,"Gd",2005
260000,3198,7,484,"NWAmes",2353,"Ex",1980
270000,3047,8,1025,"Somerst",1959,"Gd",2006
260000,3993,7,656,"NoRidge",2646,"Gd",1993
187500,2844,7,588,"NWAmes",1472,"TA",1980
342643,3845,9,840,"NridgHt",2596,"Gd",2006
354000,3604,8,872,"NridgHt",2468,"Gd",2004
301000,4232,7,576,"SawyerW",2730,"Gd",1987
126175,2325,3,220,"OldTown",1163,"TA",2005
242000,3688,7,564,"NAmes",2978,"Gd",2007
87000,1523,5,360,"IDOTRR",803,"TA",1950
324000,3438,8,473,"Veenker",1719,"Gd",1993
145250,2766,6,292,"NAmes",1383,"TA",1960
214500,2978,6,441,"BrkSide",2134,"Gd",1994
78000,1788,5,189,"IDOTRR",1192,"TA",1950
119000,3456,5,352,"NAmes",1728,"TA",1964
139000,2112,5,308,"NAmes",1056,"TA",1992
284000,4835,8,880,"NridgHt",1629,"Gd",2004
207000,2716,7,484,"NridgHt",1358,"Gd",2004
192000,2581,6,472,"Gilbert",1638,"TA",1998
228950,3285,5,529,"Timber",1786,"TA",1965
377426,3844,9,676,"StoneBr",1922,"Gd",2006
214000,3072,7,532,"CollgCr",1536,"Gd",2003
202500,2829,7,440,"NWAmes",1621,"Gd",1998
155000,2430,6,297,"NAmes",1215,"TA",1998
202900,2875,8,431,"Timber",1908,"Gd",2002
82000,1562,4,294,"SawyerW",841,"TA",1950
87500,1040,3,400,"NAmes",1040,"TA",1950
266000,3368,9,564,"NridgHt",1684,"Ex",2005
85000,1648,5,336,"MeadowV",1112,"TA",1976
140200,2549,6,312,"BrkSide",1577,"Fa",1950
151500,1916,6,301,"NAmes",958,"TA",1998
157500,2956,6,498,"NAmes",1478,"TA",1960
154000,2390,7,474,"NridgHt",1626,"Gd",2004
437154,4576,9,706,"NridgHt",2728,"Ex",2006
318061,3738,9,617,"NridgHt",1869,"Ex",2007
190000,2906,7,445,"ClearCr",1453,"Gd",1986
95000,1727,5,200,"Edwards",1111,"TA",1950
105900,1344,6,484,"OldTown",720,"TA",2003
140000,2535,6,240,"SWISU",1595,"TA",2000
177500,2400,6,521,"CollgCr",1200,"Gd",1995
173000,2325,6,400,"Gilbert",1167,"Gd",1992
134000,2284,5,528,"MeadowV",1142,"TA",1976
130000,2414,5,288,"ClearCr",1352,"Gd",1958
280000,3010,8,592,"NoRidge",1924,"Gd",1998
156000,1800,6,470,"Mitchel",912,"TA",1978
145000,2388,5,240,"BrkSide",1505,"TA",1982
198500,1922,7,672,"Edwards",1922,"Gd",2003
118000,1470,6,264,"BrDale",987,"Gd",2007
190000,2370,6,566,"NWAmes",1574,"TA",1976
147000,2016,5,468,"IDOTRR",1344,"TA",1997
159000,2788,6,514,"NAmes",1394,"TA",1963
165000,2530,6,296,"NAmes",1431,"TA",1962
132000,2536,5,244,"NAmes",1268,"TA",1954
162000,2350,5,576,"NAmes",1287,"Gd",2006
172400,2617,6,460,"Gilbert",1664,"TA",2000
134432,1588,4,680,"ClearCr",1588,"TA",1959
125000,1496,6,264,"SawyerW",752,"TA",1984
123000,1927,5,270,"NAmes",1319,"TA",1953
219500,2775,7,434,"CollgCr",1928,"Gd",2004
61000,1587,1,0,"Edwards",904,"Fa",1950
148000,1784,5,576,"CollgCr",914,"TA",1996
340000,4046,8,610,"Somerst",2466,"Gd",2005
394432,3712,9,834,"StoneBr",1856,"Ex",2010
179000,2782,6,463,"Gilbert",1800,"TA",2000
127000,2717,5,308,"SWISU",1691,"Gd",1950
187750,2594,7,572,"Somerst",1301,"Gd",2006
213500,2736,7,639,"CollgCr",1797,"Gd",2006
76000,1568,6,360,"SawyerW",784,"TA",1950
240000,3533,6,501,"ClearCr",1953,"Gd",1992
192000,2525,8,430,"Blmngtn",1269,"Gd",2005
81000,1842,5,0,"Edwards",1184,"TA",1996
125000,2166,6,352,"Edwards",1125,"TA",1976
191000,2947,7,577,"CollgCr",1479,"Gd",2000
426000,4014,10,846,"NridgHt",2332,"Ex",2008
119000,2228,5,384,"Edwards",1367,"TA",1950
215000,2765,6,560,"Mitchel",1961,"Gd",2002
106500,882,5,294,"NAmes",882,"TA",1959
100000,1576,4,0,"BrkSide",788,"TA",1950
109000,1769,5,240,"OldTown",1034,"TA",1950
129000,2288,5,596,"Edwards",1144,"TA",1956
123000,1788,5,600,"CollgCr",894,"TA",1972
169500,2676,5,264,"NAmes",1812,"TA",1962
67000,2038,5,338,"IDOTRR",1077,"TA",1950
241000,2642,7,438,"Somerst",1550,"Gd",2007
245500,2548,8,500,"Veenker",1288,"Ex",1996
164990,2620,7,400,"CollgCr",1310,"Gd",2005
108000,1344,5,240,"Sawyer",672,"TA",1997
258000,3404,8,420,"NoRidge",2263,"Gd",1998
168000,2378,6,373,"Gilbert",1572,"TA",1996
150000,2901,4,490,"Sawyer",1620,"TA",1993
115000,2230,6,240,"SWISU",1639,"TA",1950
177000,2520,6,308,"Crawfor",1680,"TA",1976
280000,3235,7,947,"NridgHt",2172,"Gd",2006
339750,3112,8,836,"Somerst",2078,"Ex",2008
60000,2552,5,350,"Edwards",1276,"TA",1958
145000,2112,5,572,"Gilbert",1056,"TA",1955
222000,2948,7,484,"Somerst",1478,"Gd",2009
115000,2036,5,360,"OldTown",1028,"TA",1950
228000,3177,7,678,"SawyerW",2097,"Gd",1993
181134,2680,7,396,"Gilbert",1340,"Gd",2007
149500,2072,6,440,"Sawyer",1400,"TA",1978
239000,3994,6,864,"Crawfor",2624,"TA",1950
126000,1890,5,240,"Edwards",1134,"TA",1950
142000,2112,5,304,"NAmes",1056,"TA",1968
206300,2688,7,784,"Mitchel",1344,"TA",1998
215000,3204,6,529,"NWAmes",1602,"Gd",2000
113000,1976,5,520,"Mitchel",988,"TA",1954
315000,4100,8,696,"NoRidge",2630,"Gd",1998
139000,2392,6,297,"NAmes",1196,"TA",1956
135000,2040,7,240,"OldTown",1389,"TA",1992
275000,3162,7,569,"SawyerW",1644,"Gd",1989
109008,1814,4,352,"NAmes",907,"TA",1957
195400,2416,7,628,"CollgCr",1208,"Gd",2007
175000,2804,6,576,"Timber",1412,"Gd",1988
85400,1470,6,264,"BrDale",987,"TA",1971
79900,2099,6,0,"OldTown",1198,"TA",1998
122500,2130,5,440,"BrDale",1365,"TA",1971
181000,2530,6,470,"Gilbert",1604,"TA",1998
81000,1260,4,0,"MeadowV",630,"TA",1972
212000,2460,7,550,"CollgCr",1661,"Gd",1996
116000,1766,6,440,"OldTown",1118,"TA",1950
119000,1788,6,180,"BrkSide",904,"TA",2004
90350,1134,5,352,"Crawfor",694,"Gd",2002
110000,1880,6,528,"Edwards",1196,"Gd",2000
555000,5496,10,672,"NridgHt",2402,"Ex",2008
118000,2880,4,0,"Edwards",1440,"Fa",1955
162900,2651,5,360,"BrkSide",1573,"TA",1992
172500,2516,7,648,"Blmngtn",1258,"Gd",2007
210000,2823,7,493,"CollgCr",1908,"Gd",1995
127500,3125,6,480,"Edwards",1689,"TA",1956
190000,3405,6,578,"NAmes",1888,"Gd",2002
199900,2816,7,431,"Gilbert",1886,"Gd",1999
119500,2156,6,198,"IDOTRR",1376,"TA",1950
120000,1832,3,308,"OldTown",1183,"TA",2002
110000,1626,6,270,"OldTown",813,"Gd",2005
280000,3066,7,576,"ClearCr",1533,"Gd",1975
204000,2628,6,422,"Timber",1756,"TA",1997
210000,2358,8,676,"Somerst",1590,"Gd",2008
188000,3456,5,560,"Mitchel",1728,"TA",1976
175500,2484,7,528,"NWAmes",1242,"TA",1973
98000,1968,5,513,"OldTown",1344,"TA",1950
256000,3027,4,529,"ClearCr",1663,"Gd",1994
161000,2254,8,228,"OldTown",1666,"Gd",1996
110000,1912,5,352,"BrkSide",1203,"Gd",1950
263435,2767,8,552,"Somerst",1935,"TA",2009
155000,1695,7,576,"SWISU",1135,"Gd",2007
62383,1728,5,360,"Sawyer",864,"TA",1965
188700,2375,6,240,"Crawfor",1660,"TA",1995
124000,2080,5,0,"CollgCr",1040,"TA",1978
178740,2789,7,398,"Blmngtn",1414,"Gd",2004
167000,2554,7,526,"NAmes",1277,"TA",1970
146500,2372,5,312,"NAmes",1644,"Gd",1995
250000,3260,8,866,"NridgHt",1634,"Gd",2006
187000,2542,6,506,"SawyerW",1710,"Gd",1993
212000,2990,8,528,"StoneBr",1502,"Gd",1985
190000,2777,7,534,"NWAmes",1969,"TA",1977
148000,1619,6,525,"Edwards",1072,"TA",2005
440000,3952,8,908,"NridgHt",1976,"Gd",2007
251000,3146,8,499,"StoneBr",1652,"Ex",2000
132500,1940,5,624,"Sawyer",970,"TA",1963
208900,2971,6,508,"CollgCr",1493,"Gd",1998
380000,4796,9,694,"NridgHt",2643,"Ex",2006
297000,3423,8,826,"CollgCr",1718,"Gd",2008
89471,2038,4,672,"OldTown",1131,"TA",2000
326000,3683,9,772,"NridgHt",1850,"Gd",2005
374000,3584,9,874,"NridgHt",1792,"Ex",2004
155000,2736,7,164,"OldTown",1826,"Ex",2005
164000,2432,6,402,"Mitchel",1216,"TA",1998
